Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2020,59127,"Sunwave Gas & Power Connecticut, Inc.",B,Energy,O,NJ,Retail Power Marketer,PJM,1.8,17,3
2020,59127,"Sunwave Gas & Power Connecticut, Inc.",B,Energy,O,NY,Retail Power Marketer,NYIS,0,0,0
2020,59127,"Sunwave Gas & Power Connecticut, Inc.",B,Energy,O,OH,Retail Power Marketer,PJM,12.4,179,14
2020,59127,"Sunwave Gas & Power Connecticut, Inc.",B,Energy,O,PA,Retail Power Marketer,PJM,353.8,4304,340
2020,59127,"Sunwave Gas & Power Connecticut, Inc.",B,Energy,O,RI,Retail Power Marketer,ISNE,23.6,310,47
2020,59128,MPower Energy LLC,B,Energy,O,NY,Retail Power Marketer,NYIS,20952.3,155661,38194
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,DC,Retail Power Marketer,PJM,92.1,1106,172
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,DE,Retail Power Marketer,PJM,384.5,4673,1079
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,16148.2,160607,20335
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,MA,Retail Power Marketer,ISNE,42683.2,315578,43977
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,24729,229657,22195
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,39479.5,267636,31362
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,2531.9,20843,4672
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,25451.9,310945,35153
2020,59310,"Inspire Energy Holdings, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,71005.5,740551,77755
2020,59311,"XOOM Energy Ohio, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,7850,123684,11697
2020,59312,"XOOM Energy Washington DC, LLC",B,Energy,O,DC,Retail Power Marketer,PJM,1271,11754,1214
2020,59313,"Palmco Power MA, LLC",B,Energy,O,MA,Retail Power Marketer,ISNE,8689,53804,9736
2020,59314,Infuse Energy LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,53743.6,513242,37937
2020,59361,Lykins Energy Solutions,B,Energy,O,OH,Retail Power Marketer,PJM,1698,31229,2362
2020,59385,"Dynegy Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,110555.6,1593169,174115
2020,59385,"Dynegy Energy Services, LLC",B,Energy,O,MA,Retail Power Marketer,ISNE,68135.6,630668,89365
2020,59385,"Dynegy Energy Services, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,191848.4,3660986,347899
2020,59385,"Dynegy Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,28063.8,457784,36727
2020,59410,"Shipley Choice, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,535.9,5612,433
2020,59410,"Shipley Choice, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,601.3,12445,1159
2020,59410,"Shipley Choice, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,17498.7,215670,19690
2020,59472,Agera Energy LLC,B,Energy,O,CA,Retail Power Marketer,CISO,0,0,0
2020,59472,Agera Energy LLC,B,Energy,O,CT,Retail Power Marketer,ISNE,1.6,19,17
2020,59472,Agera Energy LLC,B,Energy,O,DC,Retail Power Marketer,PJM,0,0,0
2020,59472,Agera Energy LLC,B,Energy,O,DE,Retail Power Marketer,PJM,0,0,0
2020,59472,Agera Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0.1,2,1
2020,59472,Agera Energy LLC,B,Energy,O,IL,Retail Power Marketer,MISO,0.6,11,1
2020,59472,Agera Energy LLC,B,Energy,O,MA,Retail Power Marketer,ISNE,4.7,43,27
2020,59472,Agera Energy LLC,B,Energy,O,MD,Retail Power Marketer,PJM,0.1,1,2
2020,59472,Agera Energy LLC,B,Energy,O,ME,Retail Power Marketer,ISNE,0,0,0
2020,59472,Agera Energy LLC,B,Energy,O,NH,Retail Power Marketer,ISNE,0.1,1,1
2020,59472,Agera Energy LLC,B,Energy,O,NJ,Retail Power Marketer,PJM,0.6,5,6
2020,59472,Agera Energy LLC,B,Energy,O,NY,Retail Power Marketer,NYIS,18.3,48,18
2020,59472,Agera Energy LLC,B,Energy,O,OH,Retail Power Marketer,PJM,0.7,12,10
2020,59472,Agera Energy LLC,B,Energy,O,PA,Retail Power Marketer,PJM,0,0,0
2020,59472,Agera Energy LLC,B,Energy,O,RI,Retail Power Marketer,ISNE,0,0,0
2020,59472,Agera Energy LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,0.7,4,34
2020,59505,Heartland REMC,A,Bundled,O,IN,Cooperative,PJM,33517,262154,17395
2020,59579,Sunnova,A,Bundled,O,AZ,Behind the Meter,AZPS,2591.9,14883,1299
2020,59579,Sunnova,A,Bundled,O,AZ,Behind the Meter,SRP,378.7,1757,189
2020,59579,Sunnova,A,Bundled,O,AZ,Behind the Meter,TEPC,156.5,991,78
2020,59579,Sunnova,A,Bundled,O,AZ,Behind the Meter,WALC,11.1,59,6
2020,59579,Sunnova,A,Bundled,O,CA,Behind the Meter,CISO,32744.4,151558,18129
2020,59579,Sunnova,A,Bundled,O,CA,Behind the Meter,IID,16.2,89,9
2020,59579,Sunnova,A,Bundled,O,CA,Behind the Meter,LDWP,1286.2,4170,756
2020,59579,Sunnova,A,Bundled,O,CA,Behind the Meter,BANC,121,472,67
2020,59579,Sunnova,A,Bundled,O,CA,Behind the Meter,TIDC,27.2,150,15
2020,59579,Sunnova,A,Bundled,O,CO,Behind the Meter,PSCO,13.1,140,29
2020,59579,Sunnova,A,Bundled,O,CT,Behind the Meter,ISNE,9995.7,58390,7805
2020,59579,Sunnova,A,Bundled,O,DE,Behind the Meter,PJM,4.1,25,5
2020,59579,Sunnova,A,Bundled,O,FL,Behind the Meter,FPL,142.1,1033,198
2020,59579,Sunnova,A,Bundled,O,FL,Behind the Meter,FPC,1252.8,8507,782
2020,59579,Sunnova,A,Bundled,O,HI,Behind the Meter,NA,705.5,2999,343
2020,59579,Sunnova,A,Bundled,O,HI,Behind the Meter,HECO,847,3597,315
2020,59579,Sunnova,A,Bundled,O,IL,Behind the Meter,PJM,93.8,587,83
2020,59579,Sunnova,A,Bundled,O,IN,Behind the Meter,PJM,4.1,20,2
2020,59579,Sunnova,A,Bundled,O,LA,Behind the Meter,MISO,20.8,125,22
2020,59579,Sunnova,A,Bundled,O,LA,Behind the Meter,SWPP,6.9,42,6
2020,59579,Sunnova,A,Bundled,O,MA,Behind the Meter,ISNE,8352.4,45807,6569
2020,59579,Sunnova,A,Bundled,O,MD,Behind the Meter,PJM,4220.9,26183,2693
2020,59579,Sunnova,A,Bundled,O,MO,Behind the Meter,SWPP,1.3,8,1
2020,59579,Sunnova,A,Bundled,O,NH,Behind the Meter,ISNE,0.1,1,1
2020,59579,Sunnova,A,Bundled,O,NJ,Behind the Meter,NYIS,124.2,731,73
2020,59579,Sunnova,A,Bundled,O,NJ,Behind the Meter,PJM,33481.7,186586,19651
2020,59579,Sunnova,A,Bundled,O,NM,Behind the Meter,EPE,28.2,148,15
