City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3613442,16000US3613442,Centerport CDP,5394,4819,5185,,11,0,305,0,0,50,209,209,0,0,0,0,0,0
3613530,16000US3613530,Central Bridge CDP,360,315,360,,0,0,0,0,0,45,0,0,0,0,0,0,0,0
3613552,16000US3613552,Central Islip CDP,31205,7157,16393,,7371,43,1136,0,154,532,14812,9261,462,8,8,0,4591,482
3613585,16000US3613585,Central Square village,1933,1905,1932,,9,0,0,0,0,18,1,1,0,0,0,0,0,0
3613618,16000US3613618,Centre Island village,446,400,433,,3,0,24,0,2,4,13,13,0,0,0,0,0,0
3613662,16000US3613662,Chadwicks CDP,1059,1059,1059,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613739,16000US3613739,Champlain village,1002,951,979,,0,6,12,0,6,4,23,16,0,0,0,0,0,7
3613805,16000US3613805,Chappaqua CDP,1434,1073,1416,,0,0,324,0,0,19,18,18,0,0,0,0,0,0
3613981,16000US3613981,Chateaugay village,745,711,733,,12,0,5,0,0,5,12,12,0,0,0,0,0,0
3614003,16000US3614003,Chatham village,1625,1409,1559,,105,0,15,0,0,30,66,41,0,0,0,0,25,0
3614036,16000US3614036,Chaumont village,753,647,722,,14,4,3,0,0,54,31,0,0,9,0,0,0,22
3614058,16000US3614058,Chautauqua CDP,323,215,305,,57,0,8,0,2,23,18,0,0,0,0,0,18,0
3614102,16000US3614102,Chazy CDP,727,705,727,,0,0,0,0,0,22,0,0,0,0,0,0,0,0
3615000,16000US3615000,Cheektowaga CDP,73740,58846,71694,,9507,135,1489,28,108,1581,2046,1280,160,23,34,0,375,174
3615121,16000US3615121,Chenango Bridge CDP,2856,2719,2856,,0,8,44,0,11,74,0,0,0,0,0,0,0,0
3615187,16000US3615187,Cherry Creek village,478,473,475,,0,0,2,0,0,0,3,3,0,0,0,0,0,0
3615242,16000US3615242,Cherry Valley village,486,468,470,,2,0,0,0,0,0,16,12,0,0,0,0,0,4
3615297,16000US3615297,Chester village,4011,1891,2660,,501,0,181,0,0,87,1351,639,46,30,0,0,433,203
3615363,16000US3615363,Chestertown CDP,430,424,427,,3,0,0,0,0,0,3,3,0,0,0,0,0,0
3615400,16000US3615400,Chestnut Ridge village,8057,5358,7305,,1240,0,387,0,25,295,752,292,282,0,0,0,154,24
3615561,16000US3615561,Chittenango village,4880,4696,4757,,18,8,6,0,0,29,123,107,16,0,0,0,0,0
3615638,16000US3615638,Churchville village,2112,2014,2069,,19,0,1,0,0,35,43,43,0,0,0,0,0,0
3615814,16000US3615814,Clarence CDP,2650,2541,2627,,40,0,35,0,0,11,23,23,0,0,0,0,0,0
3615836,16000US3615836,Clarence Center CDP,2970,2892,2970,,0,0,18,0,0,60,0,0,0,0,0,0,0,0
3615902,16000US3615902,Clark Mills CDP,1585,1491,1560,,0,0,69,0,0,0,25,0,0,0,0,0,0,25
3615946,16000US3615946,Clarkson CDP,4749,4197,4514,,212,0,91,0,0,14,235,235,0,0,0,0,0,0
3616050,16000US3616050,Claverack-Red Mills CDP,552,552,552,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3616089,16000US3616089,Clayton village,2029,1936,2013,,57,0,1,0,0,19,16,10,1,0,0,0,0,5
3616111,16000US3616111,Clayville village,190,178,179,,1,0,0,0,0,0,11,11,0,0,0,0,0,0
3616188,16000US3616188,Cleveland village,632,621,632,,0,0,1,0,0,10,0,0,0,0,0,0,0,0
3616375,16000US3616375,Clifton Springs village,2173,1994,2056,,19,0,3,0,0,40,117,108,0,0,0,0,9,0
3616419,16000US3616419,Clinton village,1830,1669,1757,,9,0,17,0,15,47,73,59,0,0,0,0,7,7
3616452,16000US3616452,Clintondale CDP,1414,1028,1204,,37,0,88,0,36,15,210,210,0,0,0,0,0,0
3616573,16000US3616573,Clyde village,2075,1756,1869,,54,3,1,0,0,55,206,198,0,0,0,0,8,0
3616628,16000US3616628,Cobleskill village,4581,3996,4314,,192,28,24,0,0,74,267,155,50,0,0,0,55,7
3616727,16000US3616727,Cohocton village,826,748,824,,5,0,0,0,0,71,2,0,0,0,0,0,2,0
3616749,16000US3616749,Cohoes city,16684,13392,15724,,1010,42,123,16,0,1141,960,572,66,14,7,0,29,272
3616815,16000US3616815,Cold Brook village,289,284,288,,0,0,0,0,0,4,1,1,0,0,0,0,0,0
3616936,16000US3616936,Cold Spring village,1775,1623,1698,,10,17,32,0,3,13,77,73,0,0,0,0,0,4
3616958,16000US3616958,Cold Spring Harbor CDP,4932,4199,4626,,9,0,299,0,13,106,306,281,0,0,0,0,23,2
3617332,16000US3617332,Colonie village,7737,6134,7553,,301,24,866,0,21,207,184,154,16,0,0,0,14,0
3617398,16000US3617398,Colton CDP,357,354,354,,0,0,0,0,0,0,3,3,0,0,0,0,0,0
3617530,16000US3617530,Commack CDP,36953,32017,34643,,465,0,1639,0,37,485,2310,2051,34,0,14,0,110,101
3617620,16000US3617620,Conesus Hamlet CDP,354,342,342,,0,0,0,0,0,0,12,12,0,0,0,0,0,0
3617622,16000US3617622,Conesus Lake CDP,2105,1873,2074,,0,0,45,30,0,126,31,20,0,11,0,0,0,0
3617739,16000US3617739,Congers CDP,8406,5812,7227,,310,42,779,0,107,177,1179,626,81,0,0,0,460,12
3617882,16000US3617882,Constableville village,330,323,323,,0,0,0,0,0,0,7,7,0,0,0,0,0,0
3617893,16000US3617893,Constantia CDP,1133,1079,1133,,0,0,0,0,0,54,0,0,0,0,0,0,0,0
3618036,16000US3618036,Coopers Plains CDP,472,450,472,,0,0,0,0,0,22,0,0,0,0,0,0,0,0
3618047,16000US3618047,Cooperstown village,1926,1575,1878,,91,0,160,0,28,24,48,44,0,2,0,0,2,0
3618113,16000US3618113,Copake Falls CDP,290,228,290,,0,0,0,0,0,62,0,0,0,0,0,0,0,0
